鄉鎮市區,交易標的,建物型態,主要用途,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,單價元平方公尺,車位類別,電梯,公設比,屋齡,豪宅,面積大小,移轉層次_數字,總樓層數_數字,移轉層次_級距
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,172.25,0,0,0,1,34500000,200290,無車位,1,0.0593,39.63835616,0,大,2,12,一到五層
松山區,房地(土地+建物)+車位,華廈(10層含以下有電梯),住家用,277.22,5,2,2,1,51000000,183976,坡道平面,1,0.0193,44.65479452,0,大,3,7,一到五層
松山區,房地(土地+建物),公寓(5樓含以下無電梯),住家用,46.08,1,1,1,0,11000000,238715,無車位,0,0,53.41917808,0,小,4,4,一到五層
北投區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,33.36,1,0,1,1,2630000,78837,無車位,1,0.3067,40.37534247,0,小,12,12,十一到十五層
士林區,房地(土地+建物),華廈(10層含以下有電梯),住家用,56.69,1,1,1,1,12800000,225789,無車位,1,0.1268,32.14246575,0,小,2,6,一到五層
大安區,房地(土地+建物),華廈(10層含以下有電梯),住家用,121.12,3,1,1,1,29300000,241909,無車位,1,0,46.37808219,0,中,7,9,六到十層
文山區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,204.5,3,2,2,1,42570000,208166,其他,1,0.4312,9.052054795,0,大,9,15,六到十層
中山區,房地(土地+建物),住宅大樓(11層含以上有電梯),住家用,81.02,0,0,0,1,19600000,241916,無車位,1,0.2498,44.38356164,0,中,12,12,十一到十五層
中山區,房地(土地+建物)+車位,住宅大樓(11層含以上有電梯),住家用,155.29,3,2,2,1,34000000,218945,坡道平面,1,0.4491,24.13972603,0,中,8,12,六到十層
內湖區,房地(土地+建物),華廈(10層含以下有電梯),住家用,89,2,2,1,1,26000000,292135,無車位,1,0.326,7.252054795,0,中,3,5,一到五層
內湖區,房地(土地+建物),華廈(10層含以下有電梯),辦公用,92.86,1,1,1,1,18250000,196532,無車位,1,0.4549,9.649315068,0,中,5,7,一到五層
南港區,房地(土地+建物),住宅大樓(11層含以上有電梯),商業用,45.92,1,1,1,1,10000000,217770,無車位,1,0.3097,28.6630137,0,小,5,16,一到五層
